x,y
-8.3709273,0.10385143
-8.2706767,0.11056309
-8.1704261,0.11631558
-8.0701754,0.12102847
-7.9699248,0.1246293
-7.8696742,0.12705442
-7.7694236,0.12824981
-7.6691729,0.12817176
-7.5689223,0.12678753
-7.4686717,0.12407588
-7.3684211,0.12002754
-7.2681704,0.11464561
-7.1679198,0.1079458
-7.0676692,0.099956572
-6.9674185,0.090719257
-6.8671679,0.080287958
-6.7669173,0.068729406
-6.6666667,0.056122685
-6.566416,0.04255885
-6.4661654,0.028140439
-6.3659148,0.012980875
-6.2656642,-0.002796232
-6.1654135,-0.01905788
-6.0651629,-0.035662564
-5.9649123,-0.052461256
-5.8646617,-0.069298452
-5.764411,-0.086013308
-5.6641604,-0.10244083
-5.5639098,-0.11841311
-5.4636591,-0.13376063
-5.3634085,-0.14831359
-5.2631579,-0.16190325
-5.1629073,-0.1743633
-5.0626566,-0.18553123
-4.962406,-0.19524968
-4.8621554,-0.20336782
-4.7619048,-0.20974261
-4.6616541,-0.2142401
-4.5614035,-0.21673665
-4.4611529,-0.21712008
-4.3609023,-0.21529074
-4.2606516,-0.21116255
-4.160401,-0.20466386
-4.0601504,-0.19573832
-3.9598997,-0.18434554
-3.8596491,-0.17046168
-3.7593985,-0.15407996
-3.6591479,-0.135211
-3.5588972,-0.11388298
-3.4586466,-0.090141825
-3.358396,-0.064051082
-3.2581454,-0.035691779
-3.1578947,-0.0051620977
-3.0576441,0.027423066
-2.9573935,0.061932682
-2.8571429,0.09822029
-2.7568922,0.13612482
-2.6566416,0.17547156
-2.556391,0.21607317
-2.4561404,0.25773088
-2.3558897,0.30023572
-2.2556391,0.34336987
-2.1553885,0.38690809
-2.0551378,0.43061917
-1.9548872,0.4742675
-1.8546366,0.51761465
-1.754386,0.56042098
-1.6541353,0.60244727
-1.5538847,0.64345636
-1.4536341,0.68321482
-1.3533835,0.72149454
-1.2531328,0.75807431
-1.1528822,0.79274143
-1.0526316,0.82529314
-0.95238095,0.85553807
-0.85213033,0.88329761
-0.7518797,0.90840717
-0.65162907,0.93071735
-0.55137845,0.95009498
-0.45112782,0.9664241
-0.35087719,0.97960681
-0.25062657,0.98956388
-0.15037594,0.99623544
-0.050125313,0.99958129
0.050125313,0.99958129
0.15037594,0.99623544
0.25062657,0.98956388
0.35087719,0.97960681
0.45112782,0.9664241
0.55137845,0.95009498
0.65162907,0.93071735
0.7518797,0.90840717
0.85213033,0.88329761
0.95238095,0.85553807
1.0526316,0.82529314
1.1528822,0.79274143
1.2531328,0.75807431
1.3533835,0.72149454
1.4536341,0.68321482
1.5538847,0.64345636
1.6541353,0.60244727
1.754386,0.56042098
1.8546366,0.51761465
1.9548872,0.4742675
2.0551378,0.43061917
2.1553885,0.38690809
2.2556391,0.34336987
2.3558897,0.30023572
2.4561404,0.25773088
2.556391,0.21607317
2.6566416,0.17547156
2.7568922,0.13612482
2.8571429,0.09822029
2.9573935,0.061932682
3.0576441,0.027423066
3.1578947,-0.0051620977
3.2581454,-0.035691779
3.358396,-0.064051082
3.4586466,-0.090141825
3.5588972,-0.11388298
3.6591479,-0.135211
3.7593985,-0.15407996
3.8596491,-0.17046168
3.9598997,-0.18434554
4.0601504,-0.19573832
4.160401,-0.20466386
4.2606516,-0.21116255
4.3609023,-0.21529074
4.4611529,-0.21712008
4.5614035,-0.21673665
4.6616541,-0.2142401
4.7619048,-0.20974261
4.8621554,-0.20336782
4.962406,-0.19524968
5.0626566,-0.18553123
5.1629073,-0.1743633
5.2631579,-0.16190325
5.3634085,-0.14831359
5.4636591,-0.13376063
5.5639098,-0.11841311
5.6641604,-0.10244083
5.764411,-0.086013308
5.8646617,-0.069298452
5.9649123,-0.052461256
6.0651629,-0.035662564
6.1654135,-0.01905788
6.2656642,-0.002796232
6.3659148,0.012980875
6.4661654,0.028140439
6.566416,0.04255885
6.6666667,0.056122685
6.7669173,0.068729406
6.8671679,0.080287958
6.9674185,0.090719257
7.0676692,0.099956572
7.1679198,0.1079458
7.2681704,0.11464561
7.3684211,0.12002754
7.4686717,0.12407588
7.5689223,0.12678753
7.6691729,0.12817176
7.7694236,0.12824981
7.8696742,0.12705442
7.9699248,0.1246293
8.0701754,0.12102847
8.1704261,0.11631558
8.2706767,0.11056309
8.3709273,0.10385143
8.4711779,0.096268111
8.5714286,0.087906785
8.6716792,0.078866249
8.7719298,0.069249449
8.8721805,0.059162447
8.9724311,0.048713395
9.0726817,0.038011498
9.1729323,0.02716599
9.273183,0.016285135
9.3734336,0.0054752423
9.4736842,-0.0051602687
9.5739348,-0.015521771
9.6741855,-0.025514276
9.7744361,-0.035048226
9.8746867,-0.04404022
9.9749373,-0.052413673
10.075188,-0.0600994
10.175439,-0.067036127
10.275689,-0.073170908
10.37594,-0.078459476
10.47619,-0.082866495
10.576441,-0.086365729
10.676692,-0.088940129
10.776942,-0.090581823
10.877193,-0.091292038
10.977444,-0.091080918
11.077694,-0.089967283
11.177945,-0.087978295
11.278195,-0.085149061
11.378446,-0.081522167
11.478697,-0.077147148
11.578947,-0.0720799
11.679198,-0.066382046
11.779449,-0.060120256
11.879699,-0.053365532
11.97995,-0.046192456
12.080201,-0.038678432
12.180451,-0.030902891
12.280702,-0.022946512
12.380952,-0.014890423
12.481203,-0.0068154234
12.581454,0.0011987842
12.681704,0.0090743422
12.781955,0.016735954
12.882206,0.024111569
12.982456,0.031133021
13.082707,0.037736629
13.182957,0.043863741
13.283208,0.049461224
13.383459,0.05448189
13.483709,0.058884873
13.58396,0.062635923
13.684211,0.065707644
13.784461,0.068079663
13.884712,0.069738724
13.984962,0.070678719
14.085213,0.070900646
14.185464,0.070412499
14.285714,0.069229098
14.385965,0.067371853
14.486216,0.064868462
14.586466,0.061752565
14.686717,0.058063333
14.786967,0.053845018
14.887218,0.049146458
14.987469,0.044020538
15.087719,0.038523629
15.18797,0.032714995
15.288221,0.026656177
15.388471,0.02041037
15.488722,0.014041785
15.588972,0.0076150138
15.689223,0.001194394
15.789474,-0.0051566119
15.889724,-0.011376024
15.989975,-0.017403931
16.090226,-0.023183046
16.190476,-0.028659235
16.290727,-0.033782007
16.390977,-0.038504958
16.491228,-0.04278618
16.591479,-0.046588612
16.691729,-0.049880347
16.79198,-0.052634881
16.892231,-0.054831309
16.992481,-0.056454465
17.092732,-0.057495004
17.192982,-0.057949422
17.293233,-0.05782003
17.393484,-0.057114861
17.493734,-0.055847526
17.593985,-0.054037021
17.694236,-0.051707478
17.794486,-0.048887874
17.894737,-0.045611692
17.994987,-0.041916542
18.095238,-0.037843752
18.195489,-0.033437916
18.295739,-0.028746427
18.39599,-0.023818979
18.496241,-0.018707058
18.596491,-0.013463411
18.696742,-0.0081415257
18.796992,-0.0027950875
18.897243,0.0025225433
18.997494,0.0077588543
19.097744,0.012862687
19.197995,0.017784727
19.298246,0.022477965
19.398496,0.026898143
19.498747,0.031004153
19.598997,0.034758413
19.699248,0.038127203
19.799499,0.041080951
19.899749,0.043594492
20,0.045647263
